id_municipio,alunos,taxa_prevista,taxa_real_2024,meta_2025,meta_2030,nome,sigla_uf,gap_previsto_meta_2025
4214003,223,0.5607335670502476,0.5919282511210763,67.96,80.0,Presidente Getúlio,SC,-11.886643294975237
2601706,658,0.4769908943896901,0.4376899696048632,59.56,80.0,Belo Jardim,PE,-11.860910561030991
1505809,766,0.4352491296748723,0.42428198433420367,55.35,80.0,Portel,PA,-11.825087032512776
3113909,132,0.6425286447773162,0.7878787878787878,76.06,80.0,Carmo da Cachoeira,MG,-11.807135522268382
1502152,1402,0.5609001106224257,0.6533523537803139,67.89,80.0,Canaã dos Carajás,PA,-11.799988937757426
3139508,207,0.6041469770626412,0.6956521739130435,72.2,80.0,Manhumirim,MG,-11.785302293735882
2408201,287,0.3481038523551788,0.4843205574912892,46.59,80.0,Nísia Floresta,RN,-11.779614764482119
3507407,118,0.6824947133933154,0.8559322033898306,80.0,80.0,Borborema,SP,-11.750528660668465
2919504,402,0.3973832314549075,0.3805970149253731,51.48,80.0,Livramento de Nossa Senhora,BA,-11.741676854509244
2615003,235,0.5457951054706495,0.5957446808510638,66.27,80.0,Taquaritinga do Norte,PE,-11.690489452935047
2931509,186,0.3149345002252115,0.2956989247311828,43.13,80.0,Teofilândia,BA,-11.63654997747885
2906006,619,0.3860463796728948,0.39095315024232635,50.23,80.0,Campo Formoso,BA,-11.62536203271052
2708709,155,0.36865688609291836,0.5032258064516129,48.46,80.0,São Miguel dos Milagres,AL,-11.594311390708164
2933604,524,0.34049244531313605,0.32251908396946566,45.64,80.0,Xique-Xique,BA,-11.590755468686396
2103703,276,0.5877866219391552,0.6702898550724637,70.36,80.0,Cururupu,MA,-11.581337806084477
1100940,260,0.6664836029697865,0.676923076923077,78.22,80.0,Cujubim,RO,-11.571639703021347
3302502,2969,0.4563016728936602,0.46783428763893564,57.18,80.0,Magé,RJ,-11.549832710633979
3157005,392,0.6360133621864061,0.7704081632653061,75.15,80.0,Salinas,MG,-11.548663781359394
5006606,1793,0.5346753012816912,0.682654768544339,65.01,80.0,Ponta Porã,MS,-11.542469871830889
1600154,184,0.5914214597070642,0.44565217391304346,70.64,80.0,Pedra Branca do Amapari,AP,-11.497854029293585
1600402,347,0.32779777864843085,0.43515850144092216,44.27,80.0,Mazagão,AP,-11.49022213515692
4218707,864,0.6187845733793262,0.6087962962962963,73.35,80.0,Tubarão,SC,-11.471542662067371
1500503,355,0.3390826881646727,0.39154929577464787,45.36,80.0,Almeirim,PA,-11.45173118353273
2112803,518,0.5391235064998716,0.5366795366795367,65.36,80.0,Viana,MA,-11.447649350012838
3302270,1085,0.405496993194281,0.36589861751152075,51.98,80.0,Japeri,RJ,-11.430300680571897
3301603,138,0.5365288050124923,0.6521739130434783,65.07,80.0,Duas Barras,RJ,-11.417119498750758
3115508,160,0.6606075401715326,0.74375,77.47,80.0,Caxambu,MG,-11.409245982846741
